Count,Target_X,Target_Y,Marker_X,Marker_Y,,,,,,
0,350,180,351,177,,-1,3,,0.3575,0.9275
1,350,180,348,180,,2,0,,,
2,350,180,351,176,,-1,4,,,
3,350,180,348,181,,2,-1,,,
4,350,180,350.5,181,,-0.5,-1,,,
5,350,180,350,179,,0,1,,,
6,350,180,350,180.5,,0,-0.5,,,
7,350,180,350,178,,0,2,,,
8,350,180,351,177,,-1,3,,,
9,350,180,350,179.5,,0,0.5,,,
10,350,180,350.5,180.5,,-0.5,-0.5,,,
11,350,180,349,180,,1,0,,,
12,350,180,348,177,,2,3,,,
13,350,180,350,182,,0,-2,,,
14,350,180,351,181.5,,-1,-1.5,,,
15,350,180,349,179,,1,1,,,
16,350,180,351,177,,-1,3,,,
17,350,180,349,181,,1,-1,,,
18,350,180,350.5,181,,-0.5,-1,,,
19,350,180,347,178,,3,2,,,
20,350,180,351,179,,-1,1,,,
21,350,180,350,180,,0,0,,,
22,350,180,350,179,,0,1,,,
23,350,180,349,181.5,,1,-1.5,,,
24,350,180,351,182,,-1,-2,,,
25,350,180,349,180,,1,0,,,
26,350,180,351,182,,-1,-2,,,
27,350,180,348,178,,2,2,,,
28,350,180,352,181,,-2,-1,,,
29,350,180,349,180,,1,0,,,
30,350,180,351,181,,-1,-1,,,
31,350,180,347.5,178,,2.5,2,,,
32,350,180,351,182,,-1,-2,,,
33,350,180,350,180,,0,0,,,
34,350,180,351,181,,-1,-1,,,
35,350,180,350.5,178.5,,-0.5,1.5,,,
36,350,180,350,179,,0,1,,,
37,350,180,348,180,,2,0,,,
38,350,180,351,180,,-1,0,,,
39,350,180,350,180,,0,0,,,
40,350,180,348,180,,2,0,,,
41,350,180,348,178.5,,2,1.5,,,
42,350,180,346,178,,4,2,,,
43,350,180,349,180,,1,0,,,
44,350,180,348,180,,2,0,,,
45,350,180,348,177,,2,3,,,
46,350,180,351.5,177,,-1.5,3,,,
47,350,180,347,179,,3,1,,,
48,350,180,350.5,179,,-0.5,1,,,
49,350,180,347,179,,3,1,,,
50,350,180,351,178,,-1,2,,,
51,350,180,348,178,,2,2,,,
